input j; compress_in_place;hash_many;M11;M116;M21;M216;M41;M416;M81;M816;M161;M1616;ipCS;ipCE;ipPARENT;ipROOT;ipKH;ipDKC;ipDKM;
      0;          0;   0;          0;   0;   0;   0;   0;   0;   0;   0;   0;   0;       0; 0; 0; 0; 0; 0; 0;
      1;          2;   1;          0;   0;   0;   1;   0;   0;   0;   0;   0;   0;       1; 1; 1; 0; 0; 0; 0;
      2;          2;   2;          0;   0;   1;   0;   0;   1;   0;   0;   0;   0;       1; 1; 1; 0; 0; 0; 0;
      3;          4;   3;          0;   0;   1;   1;   0;   1;   0;   0;   0;   0;       1; 1; 3; 0; 0; 0; 0;
      4;          2;   4;          0;   0;   1;   0;   1;   2;   0;   0;   0;   0;       1; 1; 1; 0; 0; 0; 0;
      5;          4;   5;          0;   0;   1;   1;   1;   2;   0;   0;   0;   0;       1; 1; 3; 0; 0; 0; 0;
      6;          4;   6;          0;   0;   2;   0;   1;   3;   0;   0;   0;   0;       1; 1; 3; 0; 0; 0; 0;
      7;          6;   7;          0;   0;   2;   1;   1;   3;   0;   0;   0;   0;       1; 1; 5; 0; 0; 0; 0;
      8;          2;   8;          0;   0;   1;   0;   3;   4;   0;   0;   0;   0;       1; 1; 1; 0; 0; 0; 0;
      9;          4;   9;          0;   0;   1;   1;   3;   4;   0;   0;   0;   0;       1; 1; 3; 0; 0; 0; 0;
     10;          4;  10;          0;   0;   2;   0;   3;   5;   0;   0;   0;   0;       1; 1; 3; 0; 0; 0; 0;
     11;          6;  11;          0;   0;   2;   1;   3;   5;   0;   0;   0;   0;       1; 1; 5; 0; 0; 0; 0;
     12;          4;  12;          0;   0;   2;   0;   4;   6;   0;   0;   0;   0;       1; 1; 3; 0; 0; 0; 0;
     13;          6;  13;          0;   0;   2;   1;   4;   6;   0;   0;   0;   0;       1; 1; 5; 0; 0; 0; 0;
     14;          6;  14;          0;   0;   3;   0;   4;   7;   0;   0;   0;   0;       1; 1; 5; 0; 0; 0; 0;
     15;          8;  15;          0;   0;   3;   1;   4;   7;   0;   0;   0;   0;       1; 1; 7; 0; 0; 0; 0;
     16;          2;  16;          0;   0;   1;   0;   7;   8;   0;   0;   0;   0;       1; 1; 1; 0; 0; 0; 0;
     17;          4;  17;          0;   0;   1;   1;   7;   8;   0;   0;   0;   0;       1; 1; 3; 0; 0; 0; 0;
     18;          4;  18;          0;   0;   2;   0;   7;   9;   0;   0;   0;   0;       1; 1; 3; 0; 0; 0; 0;
     19;          6;  19;          0;   0;   2;   1;   7;   9;   0;   0;   0;   0;       1; 1; 5; 0; 0; 0; 0;
     20;          4;  20;          0;   0;   2;   0;   8;  10;   0;   0;   0;   0;       1; 1; 3; 0; 0; 0; 0;
     21;          6;  21;          0;   0;   2;   1;   8;  10;   0;   0;   0;   0;       1; 1; 5; 0; 0; 0; 0;
     22;          6;  22;          0;   0;   3;   0;   8;  11;   0;   0;   0;   0;       1; 1; 5; 0; 0; 0; 0;
     23;          8;  23;          0;   0;   3;   1;   8;  11;   0;   0;   0;   0;       1; 1; 7; 0; 0; 0; 0;
     24;          4;  24;          0;   0;   2;   0;  10;  12;   0;   0;   0;   0;       1; 1; 3; 0; 0; 0; 0;
     25;          6;  25;          0;   0;   2;   1;  10;  12;   0;   0;   0;   0;       1; 1; 5; 0; 0; 0; 0;
     26;          6;  26;          0;   0;   3;   0;  10;  13;   0;   0;   0;   0;       1; 1; 5; 0; 0; 0; 0;
     27;          8;  27;          0;   0;   3;   1;  10;  13;   0;   0;   0;   0;       1; 1; 7; 0; 0; 0; 0;
     28;          6;  28;          0;   0;   3;   0;  11;  14;   0;   0;   0;   0;       1; 1; 5; 0; 0; 0; 0;
     29;          8;  29;          0;   0;   3;   1;  11;  14;   0;   0;   0;   0;       1; 1; 7; 0; 0; 0; 0;
     30;          8;  30;          0;   0;   4;   0;  11;  15;   0;   0;   0;   0;       1; 1; 7; 0; 0; 0; 0;
     31;         10;  31;          0;   0;   4;   1;  11;  15;   0;   0;   0;   0;       1; 1; 9; 0; 0; 0; 0;
     32;          2;  32;          0;   0;   1;   0;  15;  16;   0;   0;   0;   0;       1; 1; 1; 0; 0; 0; 0;
     33;          4;  33;          0;   0;   1;   1;  15;  16;   0;   0;   0;   0;       1; 1; 3; 0; 0; 0; 0;
     34;          4;  34;          0;   0;   2;   0;  15;  17;   0;   0;   0;   0;       1; 1; 3; 0; 0; 0; 0;
     35;          6;  35;          0;   0;   2;   1;  15;  17;   0;   0;   0;   0;       1; 1; 5; 0; 0; 0; 0;
     36;          4;  36;          0;   0;   2;   0;  16;  18;   0;   0;   0;   0;       1; 1; 3; 0; 0; 0; 0;
     37;          6;  37;          0;   0;   2;   1;  16;  18;   0;   0;   0;   0;       1; 1; 5; 0; 0; 0; 0;
     38;          6;  38;          0;   0;   3;   0;  16;  19;   0;   0;   0;   0;       1; 1; 5; 0; 0; 0; 0;
     39;          8;  39;          0;   0;   3;   1;  16;  19;   0;   0;   0;   0;       1; 1; 7; 0; 0; 0; 0;
     40;          4;  40;          0;   0;   2;   0;  18;  20;   0;   0;   0;   0;       1; 1; 3; 0; 0; 0; 0;
     41;          6;  41;          0;   0;   2;   1;  18;  20;   0;   0;   0;   0;       1; 1; 5; 0; 0; 0; 0;
     42;          6;  42;          0;   0;   3;   0;  18;  21;   0;   0;   0;   0;       1; 1; 5; 0; 0; 0; 0;
     43;          8;  43;          0;   0;   3;   1;  18;  21;   0;   0;   0;   0;       1; 1; 7; 0; 0; 0; 0;
     44;          6;  44;          0;   0;   3;   0;  19;  22;   0;   0;   0;   0;       1; 1; 5; 0; 0; 0; 0;
